video_id,cluster,cluster_id,fusion_strategy,k_selected,url
4KsY-RE4AfU,0,0,concat,6,https://www.youtube.com/watch?v=4KsY-RE4AfU
4RZSx02_iVM,0,0,concat,6,https://www.youtube.com/watch?v=4RZSx02_iVM
4TAie1o1QB0,0,0,concat,6,https://www.youtube.com/watch?v=4TAie1o1QB0
4U21oVh-WUE,0,0,concat,6,https://www.youtube.com/watch?v=4U21oVh-WUE
4XtXrzOH6ww,0,0,concat,6,https://www.youtube.com/watch?v=4XtXrzOH6ww
4ZFgVn_UQew,0,0,concat,6,https://www.youtube.com/watch?v=4ZFgVn_UQew
4amnQaqz_YQ,0,0,concat,6,https://www.youtube.com/watch?v=4amnQaqz_YQ
4fEajnENiZs,0,0,concat,6,https://www.youtube.com/watch?v=4fEajnENiZs
4qZjsEEWbYQ,0,0,concat,6,https://www.youtube.com/watch?v=4qZjsEEWbYQ
4xOVFWth5OI,0,0,concat,6,https://www.youtube.com/watch?v=4xOVFWth5OI
50PfwrxqU9I,0,0,concat,6,https://www.youtube.com/watch?v=50PfwrxqU9I
50y3blheT5o,0,0,concat,6,https://www.youtube.com/watch?v=50y3blheT5o
563uS8SINjA,0,0,concat,6,https://www.youtube.com/watch?v=563uS8SINjA
56Q4kO8gRKo,0,0,concat,6,https://www.youtube.com/watch?v=56Q4kO8gRKo
5FB4F3ZZ3CY,0,0,concat,6,https://www.youtube.com/watch?v=5FB4F3ZZ3CY
5GwQGmQB-u4,0,0,concat,6,https://www.youtube.com/watch?v=5GwQGmQB-u4
5L4305Ctclc,0,0,concat,6,https://www.youtube.com/watch?v=5L4305Ctclc
5QKFdwwgu9U,0,0,concat,6,https://www.youtube.com/watch?v=5QKFdwwgu9U
5SXunteEnBs,0,0,concat,6,https://www.youtube.com/watch?v=5SXunteEnBs
5VxgqAXCpG4,0,0,concat,6,https://www.youtube.com/watch?v=5VxgqAXCpG4
5jqpTuN4sWo,0,0,concat,6,https://www.youtube.com/watch?v=5jqpTuN4sWo
5o2lpjFDgaI,0,0,concat,6,https://www.youtube.com/watch?v=5o2lpjFDgaI
5uwxD-fnU-I,0,0,concat,6,https://www.youtube.com/watch?v=5uwxD-fnU-I
5vC6KWS-N-c,0,0,concat,6,https://www.youtube.com/watch?v=5vC6KWS-N-c
5w9GtTLEW4E,0,0,concat,6,https://www.youtube.com/watch?v=5w9GtTLEW4E
5wxvCUJF_SU,0,0,concat,6,https://www.youtube.com/watch?v=5wxvCUJF_SU
62eYpPEMnfU,0,0,concat,6,https://www.youtube.com/watch?v=62eYpPEMnfU
62uU6XaLru4,0,0,concat,6,https://www.youtube.com/watch?v=62uU6XaLru4
63-e-oIv2uc,0,0,concat,6,https://www.youtube.com/watch?v=63-e-oIv2uc
64LJnjkZsLs,0,0,concat,6,https://www.youtube.com/watch?v=64LJnjkZsLs
68-nvAck_Pc,0,0,concat,6,https://www.youtube.com/watch?v=68-nvAck_Pc
6CoWMGFvHp0,0,0,concat,6,https://www.youtube.com/watch?v=6CoWMGFvHp0
6DVXvnanjiI,0,0,concat,6,https://www.youtube.com/watch?v=6DVXvnanjiI
6IsmwFn1BvE,0,0,concat,6,https://www.youtube.com/watch?v=6IsmwFn1BvE
6NRXQlmKyJA,0,0,concat,6,https://www.youtube.com/watch?v=6NRXQlmKyJA
6VoIP6WRfrg,0,0,concat,6,https://www.youtube.com/watch?v=6VoIP6WRfrg
6XyTZj66PL8,0,0,concat,6,https://www.youtube.com/watch?v=6XyTZj66PL8
6YkCffAtHZA,0,0,concat,6,https://www.youtube.com/watch?v=6YkCffAtHZA
6hHw2mrn5Uc,0,0,concat,6,https://www.youtube.com/watch?v=6hHw2mrn5Uc
6hnGJWxjQPY,0,0,concat,6,https://www.youtube.com/watch?v=6hnGJWxjQPY
6pB3LKIxFrM,0,0,concat,6,https://www.youtube.com/watch?v=6pB3LKIxFrM
6pNcQoKA84s,0,0,concat,6,https://www.youtube.com/watch?v=6pNcQoKA84s
6sXgwWp4KAQ,0,0,concat,6,https://www.youtube.com/watch?v=6sXgwWp4KAQ
6tg3zrA1gM8,0,0,concat,6,https://www.youtube.com/watch?v=6tg3zrA1gM8
72fZdONsg24,0,0,concat,6,https://www.youtube.com/watch?v=72fZdONsg24
73rT3h_Iyso,0,0,concat,6,https://www.youtube.com/watch?v=73rT3h_Iyso
75RJwrYtHfI,0,0,concat,6,https://www.youtube.com/watch?v=75RJwrYtHfI
7928x3YcOyA,0,0,concat,6,https://www.youtube.com/watch?v=7928x3YcOyA
79cKP6NdbIc,0,0,concat,6,https://www.youtube.com/watch?v=79cKP6NdbIc
79sJ4RWYjeg,0,0,concat,6,https://www.youtube.com/watch?v=79sJ4RWYjeg
7G0M3G2kFQI,0,0,concat,6,https://www.youtube.com/watch?v=7G0M3G2kFQI
7IyMtjJ7-Wc,0,0,concat,6,https://www.youtube.com/watch?v=7IyMtjJ7-Wc
7JeFqJI9Cag,0,0,concat,6,https://www.youtube.com/watch?v=7JeFqJI9Cag
7LHBDwDgQqc,0,0,concat,6,https://www.youtube.com/watch?v=7LHBDwDgQqc
7M9UtPHumvk,0,0,concat,6,https://www.youtube.com/watch?v=7M9UtPHumvk
7NUV1FAXmPU,0,0,concat,6,https://www.youtube.com/watch?v=7NUV1FAXmPU
7QMHV83ITTw,0,0,concat,6,https://www.youtube.com/watch?v=7QMHV83ITTw
7Rhrz4FK5mA,0,0,concat,6,https://www.youtube.com/watch?v=7Rhrz4FK5mA
7V2wAcpQfb0,0,0,concat,6,https://www.youtube.com/watch?v=7V2wAcpQfb0
7WECP_QwiSk,0,0,concat,6,https://www.youtube.com/watch?v=7WECP_QwiSk
7Yzw-cw6MN8,0,0,concat,6,https://www.youtube.com/watch?v=7Yzw-cw6MN8
7ll9xN35P7Q,0,0,concat,6,https://www.youtube.com/watch?v=7ll9xN35P7Q
7mhWa0PgYZ0,0,0,concat,6,https://www.youtube.com/watch?v=7mhWa0PgYZ0
7p2G4voYPwM,0,0,concat,6,https://www.youtube.com/watch?v=7p2G4voYPwM
7pbFXBuiLYE,0,0,concat,6,https://www.youtube.com/watch?v=7pbFXBuiLYE
7qe0fcoE1wY,0,0,concat,6,https://www.youtube.com/watch?v=7qe0fcoE1wY
7srnga3dzlY,0,0,concat,6,https://www.youtube.com/watch?v=7srnga3dzlY
7t0PyqYsac8,0,0,concat,6,https://www.youtube.com/watch?v=7t0PyqYsac8
7uPkrYjz_NQ,0,0,concat,6,https://www.youtube.com/watch?v=7uPkrYjz_NQ
8Es5IlASoOI,0,0,concat,6,https://www.youtube.com/watch?v=8Es5IlASoOI
8M4E2AT1-g0,0,0,concat,6,https://www.youtube.com/watch?v=8M4E2AT1-g0
8QiLWVB9Zto,0,0,concat,6,https://www.youtube.com/watch?v=8QiLWVB9Zto
8_JefUS1o_w,0,0,concat,6,https://www.youtube.com/watch?v=8_JefUS1o_w
8h5bi0EY-lM,0,0,concat,6,https://www.youtube.com/watch?v=8h5bi0EY-lM
8qeMOvX_yL4,0,0,concat,6,https://www.youtube.com/watch?v=8qeMOvX_yL4
8slK1M-pka0,0,0,concat,6,https://www.youtube.com/watch?v=8slK1M-pka0
92KdNJHFRCI,0,0,concat,6,https://www.youtube.com/watch?v=92KdNJHFRCI
94ie7wZj7ZY,0,0,concat,6,https://www.youtube.com/watch?v=94ie7wZj7ZY
96St-G_Ry8o,0,0,concat,6,https://www.youtube.com/watch?v=96St-G_Ry8o
9F-VnfH8juI,0,0,concat,6,https://www.youtube.com/watch?v=9F-VnfH8juI
9KhLJYlab5A,0,0,concat,6,https://www.youtube.com/watch?v=9KhLJYlab5A
9LiAcR6Vcuo,0,0,concat,6,https://www.youtube.com/watch?v=9LiAcR6Vcuo
9Qlfy9AqEZc,0,0,concat,6,https://www.youtube.com/watch?v=9Qlfy9AqEZc
9S-dTbIk7nA,0,0,concat,6,https://www.youtube.com/watch?v=9S-dTbIk7nA
9TdpHfLJou8,0,0,concat,6,https://www.youtube.com/watch?v=9TdpHfLJou8
9_CNeufdSA4,0,0,concat,6,https://www.youtube.com/watch?v=9_CNeufdSA4
9aIBy96GQ1o,0,0,concat,6,https://www.youtube.com/watch?v=9aIBy96GQ1o
9b5BKFZoBVo,0,0,concat,6,https://www.youtube.com/watch?v=9b5BKFZoBVo
9gb4alzN5PA,0,0,concat,6,https://www.youtube.com/watch?v=9gb4alzN5PA
9j4pBKXOcvk,0,0,concat,6,https://www.youtube.com/watch?v=9j4pBKXOcvk
9vsi7NHgD1w,0,0,concat,6,https://www.youtube.com/watch?v=9vsi7NHgD1w
9xQZcGRExbk,0,0,concat,6,https://www.youtube.com/watch?v=9xQZcGRExbk
A-JCJOSlStQ,0,0,concat,6,https://www.youtube.com/watch?v=A-JCJOSlStQ
A4WHUWEkB_c,0,0,concat,6,https://www.youtube.com/watch?v=A4WHUWEkB_c
AAxCglz-dSo,0,0,concat,6,https://www.youtube.com/watch?v=AAxCglz-dSo
ACMfratUm5I,0,0,concat,6,https://www.youtube.com/watch?v=ACMfratUm5I
AHDBPktGPrg,0,0,concat,6,https://www.youtube.com/watch?v=AHDBPktGPrg
AKwFBgDKE64,0,0,concat,6,https://www.youtube.com/watch?v=AKwFBgDKE64
AMHfjh-VgDg,0,0,concat,6,https://www.youtube.com/watch?v=AMHfjh-VgDg
AQCU2EhTl2s,0,0,concat,6,https://www.youtube.com/watch?v=AQCU2EhTl2s
AVvMZafbYZU,0,0,concat,6,https://www.youtube.com/watch?v=AVvMZafbYZU
AWQT_JUz-e8,0,0,concat,6,https://www.youtube.com/watch?v=AWQT_JUz-e8
AgLKWZnIYVQ,0,0,concat,6,https://www.youtube.com/watch?v=AgLKWZnIYVQ
AgLbDOOm7eE,0,0,concat,6,https://www.youtube.com/watch?v=AgLbDOOm7eE
AsR9gEDDTN0,0,0,concat,6,https://www.youtube.com/watch?v=AsR9gEDDTN0
AwtXF1272bk,0,0,concat,6,https://www.youtube.com/watch?v=AwtXF1272bk
AyPb0xDmG70,0,0,concat,6,https://www.youtube.com/watch?v=AyPb0xDmG70
B-sup3_89kU,0,0,concat,6,https://www.youtube.com/watch?v=B-sup3_89kU
B4XNRakFY9o,0,0,concat,6,https://www.youtube.com/watch?v=B4XNRakFY9o
B8ohd5bNogs,0,0,concat,6,https://www.youtube.com/watch?v=B8ohd5bNogs
B9Uc0FKUQE0,0,0,concat,6,https://www.youtube.com/watch?v=B9Uc0FKUQE0
B9Yg7KFrtRo,0,0,concat,6,https://www.youtube.com/watch?v=B9Yg7KFrtRo
BICIijkw2CA,0,0,concat,6,https://www.youtube.com/watch?v=BICIijkw2CA
BJzmtcxqVrU,0,0,concat,6,https://www.youtube.com/watch?v=BJzmtcxqVrU
BUQArCvAtO0,0,0,concat,6,https://www.youtube.com/watch?v=BUQArCvAtO0
BVirD3fIHSM,0,0,concat,6,https://www.youtube.com/watch?v=BVirD3fIHSM
Bhn7ni4ibGE,0,0,concat,6,https://www.youtube.com/watch?v=Bhn7ni4ibGE
Bklkq9pncL4,0,0,concat,6,https://www.youtube.com/watch?v=Bklkq9pncL4
Brw7rKZf6Uo,0,0,concat,6,https://www.youtube.com/watch?v=Brw7rKZf6Uo
Buh8Y3CwPu0,0,0,concat,6,https://www.youtube.com/watch?v=Buh8Y3CwPu0
Bw0RNBdHq1A,0,0,concat,6,https://www.youtube.com/watch?v=Bw0RNBdHq1A
BwMZd7iy_sc,0,0,concat,6,https://www.youtube.com/watch?v=BwMZd7iy_sc
C1NXc_isx3E,0,0,concat,6,https://www.youtube.com/watch?v=C1NXc_isx3E
C4p4xrvsK5w,0,0,concat,6,https://www.youtube.com/watch?v=C4p4xrvsK5w
C5yV4X7x96E,0,0,concat,6,https://www.youtube.com/watch?v=C5yV4X7x96E
C8X6GPzz4lU,0,0,concat,6,https://www.youtube.com/watch?v=C8X6GPzz4lU
C9fOT2w771M,0,0,concat,6,https://www.youtube.com/watch?v=C9fOT2w771M
CC2umLijZLE,0,0,concat,6,https://www.youtube.com/watch?v=CC2umLijZLE
CPP17TABJHg,0,0,concat,6,https://www.youtube.com/watch?v=CPP17TABJHg
CRWR13BAIEs,0,0,concat,6,https://www.youtube.com/watch?v=CRWR13BAIEs
CVfXpY1UdjU,0,0,concat,6,https://www.youtube.com/watch?v=CVfXpY1UdjU
CX90iZVIwjw,0,0,concat,6,https://www.youtube.com/watch?v=CX90iZVIwjw
C_rF2XQWTCA,0,0,concat,6,https://www.youtube.com/watch?v=C_rF2XQWTCA
Ccii3FRYXLE,0,0,concat,6,https://www.youtube.com/watch?v=Ccii3FRYXLE
CgrojExyb_s,0,0,concat,6,https://www.youtube.com/watch?v=CgrojExyb_s
CjLPlHJhaLQ,0,0,concat,6,https://www.youtube.com/watch?v=CjLPlHJhaLQ
Cok9pKqhlIU,0,0,concat,6,https://www.youtube.com/watch?v=Cok9pKqhlIU
CtL__8JCU20,0,0,concat,6,https://www.youtube.com/watch?v=CtL__8JCU20
CzD0G4Ee7k0,0,0,concat,6,https://www.youtube.com/watch?v=CzD0G4Ee7k0
D-IXCi8WqSE,0,0,concat,6,https://www.youtube.com/watch?v=D-IXCi8WqSE
D-P6FwNNP3M,0,0,concat,6,https://www.youtube.com/watch?v=D-P6FwNNP3M
D16EiQc25Aw,0,0,concat,6,https://www.youtube.com/watch?v=D16EiQc25Aw
DDqJVQfCDks,0,0,concat,6,https://www.youtube.com/watch?v=DDqJVQfCDks
DFHesPqEiwE,0,0,concat,6,https://www.youtube.com/watch?v=DFHesPqEiwE
DHoIICtSohQ,0,0,concat,6,https://www.youtube.com/watch?v=DHoIICtSohQ
DJVBGQvhFEc,0,0,concat,6,https://www.youtube.com/watch?v=DJVBGQvhFEc
