video_id,cluster,url,motion_mean,cut_rate_per_min,audio_rms_mean,audio_rms_std,visual_density,cluster_id,fusion_strategy,k_selected,video_available,audio_available
maLWUmtNuE4,4,https://www.youtube.com/watch?v=maLWUmtNuE4,19.019172881453944,25.881640684122903,4860.5713371030815,2644.501224075326,0.0187559445074326,4.0,concat,6.0,1.0,1.0
mbfQHym3Kxo,4,https://www.youtube.com/watch?v=mbfQHym3Kxo,37.70753194010535,76.94656488549619,125.53152585726733,134.6927721197482,0.1414704663825757,4.0,concat,6.0,1.0,1.0
mc6EeL13VZQ,4,https://www.youtube.com/watch?v=mc6EeL13VZQ,23.699583231016646,35.0,2313.880424759336,1500.2491470473897,0.0480325718118686,4.0,concat,6.0,1.0,1.0
mduGqsSYbPs,4,https://www.youtube.com/watch?v=mduGqsSYbPs,11.37871131029996,0.0,11448.544466885653,3717.743072978833,0.0811530671296296,4.0,concat,6.0,1.0,1.0
mgTOltRXkjQ,4,https://www.youtube.com/watch?v=mgTOltRXkjQ,30.98167921702067,49.72375690607735,3863.0415381716007,1543.6638583983984,0.0903950500488281,4.0,concat,6.0,1.0,1.0
mhEpAQqd_0s,4,https://www.youtube.com/watch?v=mhEpAQqd_0s,31.89153536160787,67.2,9984.84598801574,4313.0336375655415,0.1193888888888889,4.0,concat,6.0,1.0,1.0
mhlSsIWH7kM,4,https://www.youtube.com/watch?v=mhlSsIWH7kM,33.49031045491045,69.49280847842545,1984.1103683223353,1767.7737152798734,0.0630552602985638,4.0,concat,6.0,1.0,1.0
mitpFJryLRU,4,https://www.youtube.com/watch?v=mitpFJryLRU,32.78133759498596,53.731343283582085,5217.786677010052,4703.329796982077,0.2255340658875338,4.0,concat,6.0,1.0,1.0
mlCteY04bzI,4,https://www.youtube.com/watch?v=mlCteY04bzI,37.83660039034757,94.4606413994169,14530.80799195568,6662.550918329211,0.0768759435386473,4.0,concat,6.0,1.0,1.0
mniiuWop-XI,4,https://www.youtube.com/watch?v=mniiuWop-XI,47.11289175486161,99.04548006737788,11731.664972048658,2652.44143538578,0.0782077570611577,4.0,concat,6.0,1.0,1.0
moKJ-V8HAQg,4,https://www.youtube.com/watch?v=moKJ-V8HAQg,31.21746087087275,79.11767045454546,2803.15216471986,2158.867479307394,0.1674917996785287,4.0,concat,6.0,1.0,1.0
mom3goyUlr4,4,https://www.youtube.com/watch?v=mom3goyUlr4,30.90398366311017,51.72413793103448,14472.908348694826,6717.606652400179,0.1116853918650793,4.0,concat,6.0,1.0,1.0
motivational Shorts4,4,https://www.youtube.com/shorts/5f7E4DQG6kk,28.27560234069824,57.50798722044728,0.2619594633579254,0.0763214230537414,0.0410444146359639,,,,,
mp8mq6FySxo,4,https://www.youtube.com/watch?v=mp8mq6FySxo,7.889725960217989,0.0,3652.389340090974,2899.7921593957044,0.0528088378906249,4.0,concat,6.0,1.0,1.0
