video_id,cluster,cluster_id,fusion_strategy,k_selected
DpINuLH9Thw,0,0,concat,6
Dpe0v7NztTM,0,0,concat,6
Ds9Er27Ijg0,0,0,concat,6
Dtkmq2v2rR4,0,0,concat,6
Dx-u0kGPQX0,0,0,concat,6
E1BDiwGMlPU,0,0,concat,6
EB6p-aN4HY0,0,0,concat,6
ECxo4mIzAD8,0,0,concat,6
ECyiveGv1S4,0,0,concat,6
ERuvhnvaB2M,0,0,concat,6
EW3aW5ekv7o,0,0,concat,6
Ec5f5477MHA,0,0,concat,6
Ehb-C2MhAlU,0,0,concat,6
EijqufYWprU,0,0,concat,6
EkWxF4pfg7M,0,0,concat,6
EmR6dAW79hk,0,0,concat,6
EnoZl4iHEog,0,0,concat,6
EpzWhTr5pWs,0,0,concat,6
Eqb7W-nQsk4,0,0,concat,6
EuLtgE5W63c,0,0,concat,6
EvSYN4txbp0,0,0,concat,6
EvxiM8zkwpY,0,0,concat,6
F2gpQAXf4Zw,0,0,concat,6
F2pIxPOITHs,0,0,concat,6
F61MyoU0cDo,0,0,concat,6
F6XW2eBvI8Q,0,0,concat,6
F6d6NW1RX-0,0,0,concat,6
FFAsXPQG3nk,0,0,concat,6
FHY0P5_xaP8,0,0,concat,6
FHcu9qsgwOo,0,0,concat,6
FI5tDXN3_bs,0,0,concat,6
FOgxsoKPViM,0,0,concat,6
FQBCnnXhx4Y,0,0,concat,6
FUhVN5D1ihE,0,0,concat,6
FaXDsD4If7g,0,0,concat,6
FaXOSACbRfw,0,0,concat,6
FaXamHgXEto,0,0,concat,6
FeyAhx_8VuE,0,0,concat,6
FnsXnPgF8kY,0,0,concat,6
Fq8Aea2ZYfg,0,0,concat,6
G4_pXCyA-g0,0,0,concat,6
G9wvXNMyzVA,0,0,concat,6
GBHHfIo_cb4,0,0,concat,6
GFPYUbfWn38,0,0,concat,6
GK4AJmF_hgE,0,0,concat,6
GeX2PfPEPQg,0,0,concat,6
Gedi2E-CpKk,0,0,concat,6
GhSaopRNRfc,0,0,concat,6
GneQdiJLBzs,0,0,concat,6
GtgZSS5kXG0,0,0,concat,6
GyBEhini_Dc,0,0,concat,6
Gzn1fV-RmwQ,0,0,concat,6
H1CBqr6kacA,0,0,concat,6
H1xLpoVDp_Q,0,0,concat,6
H2aPu8hutYM,0,0,concat,6
H4pIwkz2_FA,0,0,concat,6
HBzg8Lnu2rk,0,0,concat,6
HF5k2u7jgDk,0,0,concat,6
HG-lsXn__cs,0,0,concat,6
HJCm4w4SshI,0,0,concat,6
HMc0NhsnHeU,0,0,concat,6
HN9P4qI7aBU,0,0,concat,6
HOCjM8T4-QI,0,0,concat,6
HPHYBzgqyV0,0,0,concat,6
HPaoihE95n0,0,0,concat,6
HWfrfdumycs,0,0,concat,6
HgKwwrRKhU0,0,0,concat,6
HoCPXO33c48,0,0,concat,6
Hr-QvUm8Crc,0,0,concat,6
HufeVnpEVx0,0,0,concat,6
I0F4DKpFJ6k,0,0,concat,6
I0YiKXMRD4w,0,0,concat,6
I3QMIzQLFFw,0,0,concat,6
I52U6ROLz7Y,0,0,concat,6
I7tFIDAiPTE,0,0,concat,6
I953mMSe2-o,0,0,concat,6
I9nKTsf4tg8,0,0,concat,6
ICy7kMWvqoY,0,0,concat,6
IG9HjOO1uEY,0,0,concat,6
IKMq1TB_MZA,0,0,concat,6
ILD-8vvUYFY,0,0,concat,6
ILqsCL7ZnI0,0,0,concat,6
IQEZ7Q0DSbQ,0,0,concat,6
IQGyNT770GQ,0,0,concat,6
IVCVCxOQpJo,0,0,concat,6
IXYyfi-hpko,0,0,concat,6
Ic8OHSz3D8g,0,0,concat,6
IfuV_GWTZS8,0,0,concat,6
Ifx5z8EJYqg,0,0,concat,6
Ig1rAUAirTo,0,0,concat,6
IgSGoUhjers,0,0,concat,6
Iie40m3mLmc,0,0,concat,6
InASSPfs9vk,0,0,concat,6
InnG9lXMcPY,0,0,concat,6
IoFSbouFdH8,0,0,concat,6
IowyzwWhZzE,0,0,concat,6
IpkLkqKXEzk,0,0,concat,6
Iq5x8xUi8dg,0,0,concat,6
IqZHFVXe2MQ,0,0,concat,6
IrA0xDWa7E0,0,0,concat,6
IrxEUZIiCz0,0,0,concat,6
J-lwMCYJyQ8,0,0,concat,6
J6hTLWGqbhs,0,0,concat,6
JDX3zBA-TiE,0,0,concat,6
JJDcbGpsnbE,0,0,concat,6
JVk1d6WWVAw,0,0,concat,6
