video_id,horizon,range_min_raw,range_max_raw,range_min_log,range_max_log,range_width_raw,range_midpoint_raw,range_midpoint_log
533dWOV7I8Q,7,70024.02865494114,158597.5114690435,11.156608009338381,11.974131202697754,88573.48281410236,114310.77006199231,11.64668481965186
5BW0xh2ih-k,7,40153.52738157811,83159.72058285495,10.600490474700928,11.328530406951904,43006.19320127684,61656.62398221653,11.029352166513712
5DZELqKSKGk,7,156884.8746129819,235352.99820079975,11.963273906707764,12.368846035003662,78468.12358781786,196118.9364068908,12.186481671509002
5HCzDjAJfGc,7,159171.14759246327,224346.42157487417,11.977741584777831,12.320951118469239,65175.2739824109,191758.78458366872,12.16399874574337
5KQA7YbIDPQ,7,365022.92618576135,615471.7380389944,12.80771818161011,13.330145931243896,250448.81185323303,490247.33211237786,13.10266734193629
5M1BJbnZObE,7,62045.8999114129,83580.92226081708,11.03564582824707,11.333582534790041,21535.022349404186,72813.411086115,11.195669169073977
5NeXlkJP9JU,7,69240.5283947406,510052.6204124678,11.145356082916258,13.142271137237552,440812.0920177272,289646.5744036042,12.57642020225737
5Or7UIbcd6w,7,243026.25554855797,382456.7812787468,12.400928878784182,12.854373550415039,139430.52573018882,312741.5184136524,12.653135506104261
5PK0U8zTkJM,7,86541.58598497197,338530.4846614794,11.368391895294193,12.732372379302975,251988.89867650747,212536.0353232257,12.266871536034941
5TxURNw0Tp4,7,156372.7469009563,302776.90052533225,11.960004234313963,12.620754814147947,146404.15362437596,229574.8237131443,12.343988640466767
5VxgqAXCpG4,7,56139.78475585136,124231.90265176017,10.935617828369143,11.729913330078126,68092.11789590881,90185.84370380576,11.40963883847027
5Yc69MPJvUg,7,36364.02373333676,77987.35088239776,10.501362705230715,11.264314746856689,41623.327149061,57175.687307867265,10.95390152974311
5ar8HsaUamc,7,113000.35690043351,225717.75563638733,11.63515510559082,12.3270450592041,112717.39873595382,169359.0562684104,12.039782238050133
5fqyvETPSxY,7,117465.18149665806,251446.75199768852,11.673905754089356,12.434990501403808,133981.57050103048,184455.96674717328,12.125171472694696
5lhAn4IFrXo,7,100496.86761376297,191670.4667083275,11.517891788482665,12.163538074493411,91173.59909456453,146083.66716104525,11.891941644668407
5o2lpjFDgaI,7,81886.07064288424,110921.2111877887,11.313096389770507,11.616584434509276,29035.140544904454,96403.64091533647,11.47630962171511
5pHLHxYzkJs,7,77984.02636898053,132858.97702313703,11.264272117614746,11.797051048278806,54874.950654156506,105421.50169605878,11.565731380881363
5tZLRC3hMyc,7,50126.26576621419,96876.41971816336,10.822320365905764,11.48120174407959,46750.15395194918,73501.34274218878,11.205072558736346
5vdmJ86umPA,7,568059.2343632146,2439865.354661514,13.249982738494875,14.7074538230896,1871806.1202982995,1503962.2945123643,14.223614377949671
61WshXT90ik,7,217704.43831602947,411186.91026454675,12.29089822769165,12.926805591583252,193482.47194851728,314445.6742902881,12.6585697836406
62uU6XaLru4,7,197170.67262108403,354296.6595313225,12.19183006286621,12.777892684936521,157125.98691023845,275733.6660762032,12.527194327505024
63I_jmip6c4,7,72428.43671044357,134806.89253318426,11.19036808013916,11.8116060256958,62378.455822740696,103617.66462181392,11.548472753022796
63NLuFK_mz4,7,161726.01867596086,310049.31214505335,11.993665122985844,12.644489860534664,148323.2934690925,235887.66541050712,12.37111521596039
64LJnjkZsLs,7,80303.72777210492,176937.7898380372,11.29358377456665,12.083559131622314,96634.06206593227,128620.75880507106,11.764631274024461
660iNQyBedQ,7,46131.83025121851,177290.55865892564,10.739280128479,12.08555088043213,131158.72840770712,111711.19445507208,11.623681150585288
66kfDq3SejI,7,128583.89116913514,234750.78220109444,11.764344596862793,12.366283988952636,106166.8910319593,181667.33668511477,12.109937977697118
6LVOQs6bSCQ,7,68224.36850125139,110473.80054976774,11.130571746826172,11.612542724609375,42249.43204851635,89349.08452550956,11.40031746659171
6LYbIioha2Y,7,295762.15541509364,480377.3821997764,12.597314262390137,13.082329368591308,184615.22678468277,388069.76880743506,12.868942995807274
6RXEXOhsQIQ,7,151446.1879145893,316406.1155320502,11.927992248535158,12.66478500366211,164959.9276174609,233926.15172331975,12.3627650284488
6S-edhWBc1s,7,83931.08291954767,219539.32975080714,11.337763214111328,12.299291229248047,135608.24683125946,151735.2063351774,11.929898807493316
6VoIP6WRfrg,7,43633.15795664141,164892.7902938688,10.683595561981202,12.01305685043335,121259.6323372274,104262.9741252551,11.554681175044859
6W3dvwKRvFs,7,173341.20041962733,245206.78234712683,12.063022956848144,12.409861221313477,71865.5819274995,209273.99138337708,12.251404414354571
6ZmrGnRyM2Q,7,630816.5752622645,2626870.041892852,13.354771995544434,14.781303977966308,1996053.4666305878,1628843.3085775583,14.303381308171655
6aOmFN6ayGY,7,38190.84291028665,53889.64096445645,10.550377235412597,10.894712104797364,15698.798054169798,46040.24193737155,10.737292837653827
